customer_id,customer_name,total_sales,total_profit
TK-60026-32354,Tanya Kaiser,5886.0,1069.0
JC-57986-22367,Joshua Coleman,821.0,115.0
JF-35281-62230,Joshua Figueroa,1044.0,225.0
EM-17267-70217,Eric Martinez,1456.0,277.0
BJ-56987-29622,Beverly Jones,358.0,65.0
KD-28448-45562,Kimberly Dodson,379.0,91.0
JS-50655-69183,Jeremy Soto,20937.0,4245.0
ED-12373-82298,Edward Doyle,2271.0,348.0
DV-46212-27560,Darin Valencia,867.0,151.0
KJ-16586-26159,Kelly Johnson,1922.0,240.0
BB-64892-13633,Brandon Blackburn,456.0,137.0
PS-72951-30172,Pamela Stone,1170.0,189.0
JT-42134-96274,Joel Thomas,513.0,87.0
RM-70820-79637,Rebecca Mcdaniel,1858.0,445.0
ES-67792-47947,Evan Smith,1566.0,221.0
KW-97201-10758,Keith Wolfe,397.0,99.0
DH-99426-71897,Debra Hahn,15478.0,2903.0
CL-81193-44195,Christopher Lee,8259.0,1584.0
MP-85971-66006,Mrs. Victoria Perez,298.0,75.0
RC-70441-91837,Robert Calhoun,5269.0,1199.0
NF-23406-80871,Nancy Fuentes,622.0,83.0
MZ-76401-10473,Mary Zamora,7176.0,1311.0
KH-18226-63910,Kristine Herrera,157.0,22.0
RG-14536-48603,Rebecca Gibson,11808.0,1773.0
JJ-74882-98412,James Harrison Jr.,1007.0,98.0
AC-92212-20344,Alexander Cantu,880.0,205.0
YS-24512-85290,Yvette Sexton,209.0,32.0
MM-85074-56821,Michael Morales,10421.0,1796.0
RP-57346-98236,Richard Pope,365.0,50.0
LN-44901-94954,Leslie Newman,533.0,53.0
TO-45982-32016,Theresa Ochoa,818.0,133.0
KL-44710-57007,Kelly Levine,361.0,101.0
DL-84584-23888,Donna Lopez,356.0,82.0
SL-69115-88911,Susan Lewis,560.0,110.0
JV-27804-85203,Joshua Villarreal,163.0,47.0
EC-58875-73328,Ethan Clark,800.0,143.0
GF-36877-29942,Guy Figueroa,64.0,10.0
TB-32380-76912,Teresa Bailey,292.0,85.0
ML-29836-11837,Melissa Lamb,4262.0,771.0
SK-21467-84842,Sarah Kim,17205.0,3337.0
CM-51203-89207,Christine Mills,625.0,122.0
JD-27067-50057,James Dillon,9582.0,1885.0
MS-69284-55473,Michael Smith,439.0,30.0
RD-66919-31132,Rebecca Douglas,162.0,44.0
JS-77511-35234,Jorge Smith,445.0,111.0
CC-53591-68226,Chad Cook,283.0,56.0
DB-56900-96223,Dustin Butler,151.0,17.0
MR-38011-16014,Michael Rosales,128.0,27.0
TB-42883-52200,Tabitha Barton,7806.0,1326.0
RB-49845-93017,Robert Boyer,159.0,13.0
